zona,speciesKey,registros
Gran Valparaiso,5371743,1
Gran Valparaiso,5384396,1
Gran Valparaiso,2495414,84
Gran Valparaiso,5228080,33
Gran Valparaiso,5392252,30
Gran Valparaiso,3034807,27
Gran Valparaiso,5858758,27
Gran Valparaiso,9751099,24
Gran Valparaiso,8200663,22
Gran Valparaiso,4252828,17
Gran Valparaiso,2928390,14
Gran Valparaiso,3112364,13
Gran Valparaiso,7627205,13
Gran Valparaiso,3112110,8
Gran Valparaiso,2370771,6
Gran Valparaiso,5219173,6
Gran Valparaiso,5375388,6
Gran Valparaiso,3112801,5
Gran Valparaiso,3114667,5
Gran Valparaiso,8370958,5
Gran Valparaiso,2928441,3
Gran Valparaiso,4064467,3
Gran Valparaiso,2350394,2
Gran Valparaiso,3103791,2
Gran Valparaiso,3128483,2
Gran Valparaiso,5362055,2
Gran Valparaiso,2480830,1
Gran Valparaiso,2703723,1
Gran Valparaiso,3083838,1
Gran Valparaiso,3083862,1
Gran Valparaiso,3128091,1
Gran Valparaiso,3138230,1
Gran Valparaiso,5391480,1
Gran Valparaiso,5568361,1
Gran Valparaiso,7903057,1
Gran Valparaiso,2888380,96
Gran Valparaiso,4989904,46
Gran Valparaiso,2975667,25
Gran Valparaiso,3034922,18
Gran Valparaiso,2928751,12
Gran Valparaiso,2435035,11
Gran Valparaiso,3066386,8
Gran Valparaiso,3176787,8
Gran Valparaiso,4286975,8
Gran Valparaiso,5334218,8
Gran Valparaiso,2715482,6
Gran Valparaiso,5554961,6
Gran Valparaiso,2440886,4
Gran Valparaiso,3050595,4
Gran Valparaiso,9419993,4
Gran Valparaiso,9485490,4
Gran Valparaiso,3119175,3
Gran Valparaiso,9297163,3
Gran Valparaiso,2440891,2
Gran Valparaiso,2890541,2
Gran Valparaiso,2891628,2
Gran Valparaiso,3147168,2
Gran Valparaiso,5354707,2
Gran Valparaiso,5531376,2
Gran Valparaiso,11869920,1
Gran Valparaiso,2350570,1
Gran Valparaiso,2891488,1
Gran Valparaiso,3066965,1
Gran Valparaiso,3152666,1
Gran Valparaiso,5375920,1
Gran Valparaiso,1316908,20
Gran Valparaiso,3935079,16
Gran Valparaiso,2963807,11
Gran Valparaiso,3086240,9
Gran Valparaiso,9151957,9
Gran Valparaiso,3152378,8
Gran Valparaiso,5373358,7
Gran Valparaiso,2434333,6
Gran Valparaiso,2927069,6
Gran Valparaiso,2971016,6
Gran Valparaiso,7886346,6
Gran Valparaiso,5341501,5
Gran Valparaiso,5377378,5
Gran Valparaiso,2926679,4
Gran Valparaiso,8338793,4
Gran Valparaiso,11055820,3
Gran Valparaiso,2965531,3
Gran Valparaiso,3093702,3
Gran Valparaiso,3152367,3
Gran Valparaiso,2873896,2
Gran Valparaiso,3084837,2
Gran Valparaiso,3171145,2
Gran Valparaiso,3188746,2
Gran Valparaiso,2965201,1
Gran Valparaiso,2965527,1
Gran Valparaiso,3093911,1
Gran Valparaiso,3140346,1
Gran Valparaiso,3935047,1
Gran Valparaiso,5357013,1
Gran Valparaiso,5384741,1
Gran Valparaiso,2928783,77
Gran Valparaiso,2484396,67
Gran Valparaiso,5231190,43
Gran Valparaiso,2891661,33
Gran Valparaiso,2479407,31
Gran Valparaiso,2888439,21
Gran Valparaiso,5285727,16
Gran Valparaiso,5361801,15
Gran Valparaiso,1114140,12
Gran Valparaiso,5341112,11
Gran Valparaiso,2436940,9
Gran Valparaiso,8208358,7
Gran Valparaiso,3188875,5
Gran Valparaiso,1114246,4
Gran Valparaiso,2477581,4
Gran Valparaiso,2928774,3
Gran Valparaiso,5341784,3
Gran Valparaiso,5190769,2
Gran Valparaiso,8427624,2
Gran Valparaiso,2891664,1
Gran Valparaiso,2928767,1
Gran Valparaiso,3085625,1
Gran Valparaiso,3189739,1
Gran Valparaiso,3189767,1
Gran Valparaiso,5290192,1
Gran Valparaiso,7429082,1
Gran Valparaiso,8262702,1
Gran Valparaiso,5380041,46
Gran Valparaiso,2996929,21
Gran Valparaiso,5384848,21
Gran Valparaiso,3145214,19
