speciesKey,nombre_gbif,lat,lon,anio,region_gbif,licencia,foto_url,gbif_id
3117424,Bellis perennis,-53.162807,-70.908424,2026,Magallanes y Antártica Chilena,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/605099324/original.jpg,5938194573
3117424,Bellis perennis,-54.925158,-68.238602,2026,Magallanes y Antártica Chilena,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/605941399/original.jpg,6130571113
3117424,Bellis perennis,-43.001281,-72.47988,2026,Los Lagos,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/606777155/original.jpg,6133363996
2963807,Lupinus arboreus,-41.826828,-73.628495,2026,Los Lagos,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/604898074/original.jpg,5938197111
2963807,Lupinus arboreus,-34.428842,-72.0401,2026,Libertador General Bernardo O'Higgins,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/605179789/original.jpg,6129913188
2963807,Lupinus arboreus,-32.875252,-71.508228,2026,Valparaíso,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/610026175/original.jpg,6129921838
3112801,Cirsium vulgare,-27.179408,-109.439178,2026,Valparaíso,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/605665391/original.jpg,5938165719
3112801,Cirsium vulgare,-33.823227,-70.061263,2026,Región Metropolitana de Santiago,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/609669589/original.jpg,6129839369
3112801,Cirsium vulgare,-51.002983,-72.6987,2026,Magallanes y Antártica Chilena,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/609891757/original.jpg,6129984856
3172077,Veronica persica,-33.44632,-70.616129,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/643134174/original.jpg,6234977943
3172077,Veronica persica,-33.622506,-71.470765,2026,Valparaíso,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/672856084/original.jpg,6399462514
3172077,Veronica persica,-33.608533,-70.716112,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/677168332/original.jpg,6431715568
5352251,Robinia pseudoacacia,-33.443955,-70.668245,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/605732175/original.jpg,5938311543
5352251,Robinia pseudoacacia,-33.495645,-70.76895,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/609502074/original.jpg,6130124766
5352251,Robinia pseudoacacia,-33.497592,-70.77406,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/607430892/original.jpg,6130585795
5341112,Phyla nodiflora,-37.967131,-73.251844,2026,Bío-Bío,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/610744540/original.jpg,6130695271
